2026-05-19 11:55:07 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:09 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:11 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:13 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:15 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:17 | ERROR    | main | 🛑 Connexion perdue avec le site. Arrêt du scan.
2026-05-19 11:55:17 | ERROR    | main | ❌ Aucun lien trouvé. Abandon.
2026-05-19 11:55:17 | WARNING  | __main__ | 🚫 Pipeline arrêté : le scraping n'a généré aucun résultat.
2026-05-19 11:55:51 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:53 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:55 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-1.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-1.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:55:57 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
